nomes;idade;cidade;estado;cpf;cnpj
Frank Solomon Jr.;50;ACORIZAL;MT;374.715.751-31;20.814.381/7235-00
Melissa Yoder PhD;51;ABAETETUBA;PA;95216154000;22170139757470
Jennifer Mccoy DVM;18;ÁGUA BRANCA;PB;460.308.316-58;94.018.131/4255-82
April Burns PhD;41;ABREU E LIMA;PE;63515895418;44130419457931
Nicholas Klein III;70;ACAUÃ;PI;388.550.560-69;55.472.908/8818-89
Debra Hunt MD;45;ABATIÁ;PR;95025670802;17614702687619
Miranda Wells DDS;66;ANGRA DOS REIS;RJ;661.317.827-68;94.202.586/0396-70
Emily Nguyen MD;53;ACARI;RN;76715061840;40785608077579
Rebecca Riggs MD;64;ALTA FLORESTA D'OESTE;RO;856.755.155-26;43.561.313/1546-09
Donald Valdez MD;87;AMAJARI;RR;97476549627;22413721054177
Michael Torres II;36;ACEGUÁ;RS;935.666.822-17;74.680.227/9929-20
Alicia Padilla DDS;24;ABDON BATISTA;SC;39211960002;15175249695090
Kenneth Cochran Jr.;59;AMPARO DE SÃO FRANCISCO;SE;098.056.462-03;45.425.940/7229-72
Kelly Jones II;79;ADAMANTINA;SP;63413971867;58924556669976
Ellen Parks MD;37;ABREULÂNDIA;TO;444.320.158-02;38.808.892/4033-26
Kelly Foley DVM;67;ACRELÂNDIA;AC;88966597521;10109375864401
James Reyes Jr.;22;ÁGUA BRANCA;AL;975.752.076-43;94.292.627/5779-94
Sean Taylor DDS;81;ALVARÃES;AM;15379879500;74022798308901
Teresa Hess Jr.;38;SERRA DO NAVIO;AP;969.897.176-96;29.041.520/8938-20
Kathryn Stokes MD;30;ABAÍRA;BA;70035805277;58021230473520
Rebecca Powell III;74;ABAIARA;CE;533.762.364-88;84.062.326/0213-00
Philip Barrett MD;34;Brasília;DF;54558813880;28176300913620
Alexandra Wilson II;63;AFONSO CLÁUDIO;ES;665.152.835-12;20.611.150/7953-20
Brandy Price DDS;80;ABADIA DE GOIÁS;GO;87408972307;94427120534096
Gordon Torres DDS;36;AÇAILÂNDIA;MA;883.847.053-72;34.800.212/5287-49
Mr. Tanner Ortiz MD DDS;46;ABADIA DOS DOURADOS;MG;57337718799;13449339986661
Kevin Robinson DDS;23;ÁGUA CLARA;MS;851.277.789-39;87.037.066/3358-29
Bryan Mullins Jr.;81;ACORIZAL;MT;33040422294;28543412396406
Amy Frank Jr.;80;ABAETETUBA;PA;515.298.794-50;74.758.580/0245-63
Katelyn Hardy DDS;77;ÁGUA BRANCA;PB;29960596389;65250370249570
Angel Bennett PhD;57;ABREU E LIMA;PE;651.206.950-19;67.238.492/3482-06
Kristin Stewart PhD;78;ACAUÃ;PI;01267686847;79817947547939
Jacqueline Cook MD;24;ABATIÁ;PR;078.257.125-52;62.390.231/4013-64
Megan Campos Jr.;74;ANGRA DOS REIS;RJ;90485472880;03792807762027
Samantha Little Jr.;75;ACARI;RN;167.834.008-16;77.216.715/6786-70
James Baker MD;81;ALTA FLORESTA D'OESTE;RO;41341123464;33471366520444
Sean Marquez MD;70;AMAJARI;RR;726.221.619-80;90.626.569/5271-66
Brian Miller PhD;84;ACEGUÁ;RS;99450449236;71514974679835
Matthew Hernandez Jr.;43;ABDON BATISTA;SC;635.592.285-73;81.701.387/3050-54
Miguel Snyder DVM;24;AMPARO DE SÃO FRANCISCO;SE;91156397111;69576547316443
Eric Marquez MD;40;ADAMANTINA;SP;494.556.197-41;54.688.756/4262-66
Samantha Smith MD;68;ABREULÂNDIA;TO;00724511300;98406208599885
Douglas Ramsey DDS;74;ACRELÂNDIA;AC;142.860.584-33;51.861.589/5135-33
Alexandria Quinn MD;49;ÁGUA BRANCA;AL;33517604429;45851783324724
Daniel Patterson DDS DVM;75;ALVARÃES;AM;265.185.107-81;17.831.334/7342-51
Stacey Lewis Jr.;36;SERRA DO NAVIO;AP;00851029469;30691679108101
Jeremy Brown MD;63;ABAÍRA;BA;791.134.953-30;49.083.842/8289-40
Jill Solis PhD;49;ABAIARA;CE;98969959904;45850800342286
Dr. Nicholas Chen PhD MD;47;Brasília;DF;216.234.227-87;26.684.179/6047-41
Linda Martin Jr.;62;AFONSO CLÁUDIO;ES;38560692835;62112672109580
Tony Cook Jr.;21;ABADIA DE GOIÁS;GO;677.686.990-17;90.394.030/1349-09
Jessica Jones MD;60;AÇAILÂNDIA;MA;33536738222;81779370154992
Zachary Cox DVM;82;ABADIA DOS DOURADOS;MG;620.451.432-60;24.282.683/5323-57
Michael Reyes Jr.;35;ÁGUA CLARA;MS;78890486619;85496754182901
Eric Serrano MD;31;ACORIZAL;MT;149.610.669-58;76.233.483/7556-09
Terri Clarke MD;90;ABAETETUBA;PA;70906272840;42169820480420
Barry Mcmillan DDS;85;ÁGUA BRANCA;PB;365.067.840-32;24.126.815/7674-05
Christopher Martinez Jr.;86;ABREU E LIMA;PE;95821489180;36161990210914
Kayla Escobar III;63;ACAUÃ;PI;813.127.414-49;35.632.601/8225-33
Molly Rodriguez IV;26;ABATIÁ;PR;39354176836;00548145887509
Vicki Li PhD;45;ANGRA DOS REIS;RJ;171.163.421-25;45.222.316/7157-69
Amy Simmons MD;25;ACARI;RN;21655566431;68444481454274
Joseph Rivera DVM;52;ALTA FLORESTA D'OESTE;RO;714.084.132-21;26.422.651/8011-74
Michael Gilbert PhD;34;AMAJARI;RR;60536623805;78478094133830
Dwayne Martin PhD;54;ACEGUÁ;RS;792.706.685-41;11.526.305/7096-02
Ariel Curry MD;66;ABDON BATISTA;SC;31942903987;58082199719200
Tammy Horton MD;88;AMPARO DE SÃO FRANCISCO;SE;594.383.695-03;75.735.133/6577-59
Samantha Greene DDS;78;ADAMANTINA;SP;89657339952;14689573808950
Kevin Summers MD;73;ABREULÂNDIA;TO;195.410.261-50;47.733.910/9736-09
Rodney Miles PhD;63;ACRELÂNDIA;AC;91532866690;33398273268082
Kyle Carson DDS;49;ÁGUA BRANCA;AL;116.920.209-86;23.166.453/7345-82
Christina Roberts DDS;31;ALVARÃES;AM;04060165425;56600468801000
Patricia Powell Jr.;39;SERRA DO NAVIO;AP;953.158.951-81;15.557.185/3624-40
Clifford Burton PhD;44;ABAÍRA;BA;63155562218;89175904623215
Amy Leonard DDS;54;ABAIARA;CE;701.879.714-47;71.382.757/1022-13
Jeremiah Carrillo DDS;41;Brasília;DF;01521083436;35203119275161
Gary Mcclure DDS;46;AFONSO CLÁUDIO;ES;952.772.571-28;08.468.154/0645-11
Mary Moore II;66;ABADIA DE GOIÁS;GO;44646047578;43995819100798
Kimberly Santiago Jr.;48;AÇAILÂNDIA;MA;898.676.573-06;61.118.317/8764-83
Dan Taylor MD;62;ABADIA DOS DOURADOS;MG;39049883796;31752332937140
Kelsey Duncan DDS;76;ÁGUA CLARA;MS;055.440.655-19;66.058.453/1371-31
Janice Clark MD;56;ACORIZAL;MT;48035373480;72247203736798
Dr. Karen Lewis DVM;67;ABAETETUBA;PA;147.560.245-64;87.163.809/4954-13
Daryl Mitchell MD;18;ÁGUA BRANCA;PB;21880265273;57257824218032
Leonard Mccoy PhD;84;ABREU E LIMA;PE;073.854.970-39;54.654.817/3072-67
Sheila Walker V;90;ACAUÃ;PI;51202348106;85919620813441
Elizabeth Keller Jr.;61;ABATIÁ;PR;542.404.955-98;80.475.456/2535-17
Allen Beltran Jr.;57;ANGRA DOS REIS;RJ;45979072110;81533479372691
Miranda Ramirez MD;83;ACARI;RN;927.855.523-18;12.327.215/5005-00
Jennifer Edwards MD;20;ALTA FLORESTA D'OESTE;RO;26742498463;22703553032002
Paul Nguyen MD;40;AMAJARI;RR;291.884.828-04;59.926.735/4465-23
Christian Bryan MD;90;ACEGUÁ;RS;94584834920;84946795672563
Leslie Bush MD;27;ABDON BATISTA;SC;143.439.420-40;33.887.187/9607-00
Hailey Myers PhD;75;AMPARO DE SÃO FRANCISCO;SE;95520412286;84901300106045
Jacob Tucker DVM;88;ADAMANTINA;SP;256.585.124-33;82.089.841/7902-12
Mr. Victor Howell Jr.;29;ABREULÂNDIA;TO;18401614007;43813837757689
Renee Rollins II;81;ACRELÂNDIA;AC;854.225.416-34;19.737.415/9398-84
Randy Cline MD;58;ÁGUA BRANCA;AL;89864041096;49813554120933
James Bates Jr.;42;ALVARÃES;AM;929.358.333-09;99.503.411/1279-06
Katherine Ellis MD;46;SERRA DO NAVIO;AP;11366344103;38505965982238
Trevor Mckee MD;71;ABAÍRA;BA;488.571.383-80;04.298.360/8740-67
Austin Moore Jr.;54;ABAIARA;CE;68494301497;30316826716376
Bailey Fowler DVM;56;Brasília;DF;019.944.193-69;83.176.730/5595-47
Julia Robinson IV;37;AFONSO CLÁUDIO;ES;18697948851;52844565272230
Benjamin Williams PhD;44;ABADIA DE GOIÁS;GO;622.838.932-75;12.481.088/2442-26
Christopher Williams MD;33;AÇAILÂNDIA;MA;15976168850;18723890750205
Abigail May MD;64;ABADIA DOS DOURADOS;MG;388.410.992-83;02.829.201/5062-11
Natalie Mcmillan DVM;77;ÁGUA CLARA;MS;64972930438;58430386184376
Donna Chang MD;27;ACORIZAL;MT;345.704.886-09;22.581.783/0008-53
Mrs. Alicia Jones DVM DDS;46;ABAETETUBA;PA;75002573410;68618553854439
Morgan Nicholson DDS MD;64;ÁGUA BRANCA;PB;950.641.319-33;84.672.869/0891-30
Kristi Robles MD;83;ABREU E LIMA;PE;19760610248;76470636484859
Tina Maxwell IV;56;ACAUÃ;PI;092.077.392-32;31.501.600/4256-80
Natalie Jenkins DDS;33;ABATIÁ;PR;08969824677;20505958496767
Garrett Bautista II;44;ANGRA DOS REIS;RJ;613.959.496-03;92.759.794/1202-50
Jessica Hamilton MD;22;ACARI;RN;44039700015;06059861155249
Sarah Sanchez DDS;30;ALTA FLORESTA D'OESTE;RO;580.310.828-63;84.484.161/2837-18
William Sheppard Jr.;80;AMAJARI;RR;15710545104;65803762855436
Carlos Kerr Jr.;27;ACEGUÁ;RS;983.609.492-04;84.040.875/8734-53
Alicia Tucker DDS;64;ABDON BATISTA;SC;49927236247;46106789584561
David Kelley MD;80;AMPARO DE SÃO FRANCISCO;SE;470.148.888-70;19.140.786/6691-35
Thomas Conley DDS;28;ADAMANTINA;SP;70686030095;01359218346900
Sarah Manning Jr.;35;ABREULÂNDIA;TO;133.272.569-42;28.924.409/8365-05
Nicole Johns MD DDS;35;ACRELÂNDIA;AC;35134038872;62521725490929
Sherry Spears DVM;61;ÁGUA BRANCA;AL;017.802.077-00;70.926.304/3745-90
Stephen Diaz DDS;49;ALVARÃES;AM;14004364949;43825856229289
Joshua Gordon DDS;54;SERRA DO NAVIO;AP;070.239.610-97;01.238.451/2186-93
Amanda Wright MD MD;53;ABAÍRA;BA;93733458184;08125457885900
Timothy Rogers Jr.;66;ABAIARA;CE;025.147.039-30;58.554.431/5218-21
Rebecca Nelson MD;34;Brasília;DF;46025310670;95501145603391
Jared Martin MD;88;AFONSO CLÁUDIO;ES;173.772.478-27;92.603.249/6045-52
Alejandro Warren Jr.;32;ABADIA DE GOIÁS;GO;59919413356;63187168707409
Steven Harris MD;31;AÇAILÂNDIA;MA;445.265.966-71;43.363.577/6983-13
Elizabeth Phillips DDS;82;ABADIA DOS DOURADOS;MG;23298024805;27597094397980
Megan Carter II;67;ÁGUA CLARA;MS;758.128.846-33;15.279.681/2731-18
James Suarez DVM;38;ACORIZAL;MT;69277975059;52951296408552
Elizabeth Santiago DVM;77;ABAETETUBA;PA;016.384.607-36;43.036.706/5853-27
Katherine Zhang DDS;24;ÁGUA BRANCA;PB;91011733757;33600009622002
Brent Yates MD;25;ABREU E LIMA;PE;357.000.146-61;87.844.601/2142-07
Sheryl Cunningham DDS;84;ACAUÃ;PI;04170911687;61024149255942
Dominique Myers II;25;ABATIÁ;PR;659.187.077-60;98.586.761/3057-97
Michael Gibson II;75;ANGRA DOS REIS;RJ;35493336502;82275443014029
Yvonne Jones PhD;44;ACARI;RN;957.928.955-70;87.851.289/0402-72
Alexis Conner Jr.;62;ALTA FLORESTA D'OESTE;RO;73788608676;48104815959029
Ruben Andrade MD;41;AMAJARI;RR;258.198.847-95;39.439.975/7283-03
Carol Williamson MD;47;ACEGUÁ;RS;95099574297;94786833955815
Rachel Fitzpatrick MD;23;ABDON BATISTA;SC;555.168.253-69;32.654.230/1785-71
Melissa Green DDS;41;AMPARO DE SÃO FRANCISCO;SE;48887895848;73141174497905
Michael Morales Jr.;39;ADAMANTINA;SP;790.305.474-05;17.958.470/1080-12
Jacob Bass DDS;39;ABREULÂNDIA;TO;35143253322;70269474701257
Lawrence Bartlett DDS;67;ACRELÂNDIA;AC;139.210.532-34;56.714.033/8021-30
Christopher Smith MD;24;ÁGUA BRANCA;AL;46801206303;02721609894267
Douglas Kelly III;71;ALVARÃES;AM;224.167.779-55;03.077.229/2248-19
Jeanne Beck DDS;63;SERRA DO NAVIO;AP;71568785305;93997095924407
Joseph Daniels MD;71;ABAÍRA;BA;756.251.578-63;73.570.896/6820-14
Stanley Rodriguez MD;38;ABAIARA;CE;15083275805;85724128760112
Andrew Fuentes DDS;65;Brasília;DF;778.454.615-71;01.824.681/6222-57
Sandra Mullins DDS;86;AFONSO CLÁUDIO;ES;14976083179;90236443840240
Kristin Schultz PhD;54;ABADIA DE GOIÁS;GO;793.834.477-02;20.464.013/3340-94
Sara Schneider PhD;19;AÇAILÂNDIA;MA;81919631674;68249580205165
Dr. Kathryn Clay DVM;90;ABADIA DOS DOURADOS;MG;510.447.057-10;14.291.150/4920-68
Kyle Rivera PhD;84;ÁGUA CLARA;MS;18684995457;73887654025902
Katie Wise DVM;36;ACORIZAL;MT;336.015.738-90;09.524.754/9510-12
Tiffany Diaz MD;70;ABAETETUBA;PA;09934897539;20728873656451
Richard Tran PhD;64;ÁGUA BRANCA;PB;698.748.209-85;08.542.987/1726-39
Rebecca Melendez PhD;41;ABREU E LIMA;PE;40972010009;60415451243600
Dustin Patterson MD;22;ACAUÃ;PI;244.405.443-12;58.040.830/5161-02
Crystal Smith DDS;55;ABATIÁ;PR;09048484855;02552165780865
Mark Brown DDS;30;ANGRA DOS REIS;RJ;163.029.648-14;61.045.142/5723-92
Dr. Edward Gomez PhD;59;ACARI;RN;74484259788;79219871243487
Maria Wagner MD;49;ALTA FLORESTA D'OESTE;RO;654.923.586-34;45.919.661/0872-59
Michael Martinez Jr.;88;AMAJARI;RR;72077317108;31672966825203
Maria Jackson DVM;31;ACEGUÁ;RS;985.677.555-81;02.063.484/5007-07
Olivia Maxwell MD;41;ABDON BATISTA;SC;00243926936;62485779822571
Jonathan Baker MD;54;AMPARO DE SÃO FRANCISCO;SE;669.871.010-51;25.955.318/2807-61
Kenneth Hughes DVM;34;ADAMANTINA;SP;26707327801;04781545424766
Jessica Stafford MD;70;ABREULÂNDIA;TO;189.402.867-82;84.273.498/3995-71
Matthew Carlson MD;30;ACRELÂNDIA;AC;36790266844;54849462300500
Sarah Wang DDS;85;ÁGUA BRANCA;AL;138.532.828-22;61.218.561/2255-81
Carlos Barnes MD;44;ALVARÃES;AM;60660552833;73364217556853
Alexander Glover DVM;76;SERRA DO NAVIO;AP;857.993.254-86;12.045.965/9347-43
Nathan Davis MD;22;ABAÍRA;BA;78942894429;94131383196069
Christy Chan PhD;19;ABAIARA;CE;223.367.682-32;25.974.732/0903-40
Catherine Martinez DDS;48;Brasília;DF;63725140367;03653314695147
Joseph Watson II;33;AFONSO CLÁUDIO;ES;105.617.049-29;94.859.642/6137-90
Claire Oconnor DDS;32;ABADIA DE GOIÁS;GO;47773604908;54387384935540
Justin Wilkinson MD;50;AÇAILÂNDIA;MA;547.232.141-78;60.252.138/5752-77
Melissa Lawrence PhD;29;ABADIA DOS DOURADOS;MG;06862646818;35591025639400
Heather Landry MD;23;ÁGUA CLARA;MS;828.905.476-98;53.278.427/7759-63
Andrew Espinoza MD;67;ACORIZAL;MT;04121130316;28201689016801
Angela Brown MD;55;ABAETETUBA;PA;431.352.754-00;18.911.687/4018-45
Rachel Hansen PhD;41;ÁGUA BRANCA;PB;25544579482;42913398544032
Teresa Savage PhD;32;ABREU E LIMA;PE;979.035.147-09;87.848.518/9545-95
Amanda Johnson PhD;82;ACAUÃ;PI;56736244501;50151409400878
Cynthia Dixon PhD;45;ABATIÁ;PR;311.107.238-06;70.762.110/3677-11
Jenna Kirk DVM III;65;ANGRA DOS REIS;RJ;82192886985;48632926383548
Tony Swanson DDS;79;ACARI;RN;266.770.756-72;29.188.318/4689-62
John Pratt DDS;67;ALTA FLORESTA D'OESTE;RO;41994799021;51911095361236
Christopher Martin MD;53;AMAJARI;RR;580.063.925-60;67.397.792/5521-96
Richard Hernandez DVM;49;ACEGUÁ;RS;35099096310;82323904192194
Erin Perry DVM;52;ABDON BATISTA;SC;908.675.385-03;54.743.017/0960-92
Matthew Kaufman MD;34;AMPARO DE SÃO FRANCISCO;SE;40358071178;63281912950105
Kayla Richardson Jr.;51;ADAMANTINA;SP;625.625.821-52;15.265.681/8424-73
Chad Marshall MD;30;ABREULÂNDIA;TO;74658998858;66121240324993
Jeremy Morgan DDS;62;ACRELÂNDIA;AC;354.309.370-37;25.181.462/0600-89
Lisa Keller PhD;43;ÁGUA BRANCA;AL;18671544397;26206751650521
Jennifer Gonzalez PhD;75;ALVARÃES;AM;137.584.331-18;76.572.839/0836-06
Tammy Mckinney MD;37;SERRA DO NAVIO;AP;14830165529;90949540412725
Christopher Carr MD;49;ABAÍRA;BA;651.728.865-16;29.921.080/5489-60
Mr. John Ray DVM DDS;20;ABAIARA;CE;96570812890;91101249876753
Robert Fisher DDS;51;Brasília;DF;007.475.193-07;91.248.235/5460-31
Raven Johnson MD;44;AFONSO CLÁUDIO;ES;19148139955;00483882661920
Brittany Payne MD;85;ABADIA DE GOIÁS;GO;312.866.263-07;29.391.787/6112-99
Amy Ochoa DDS;28;AÇAILÂNDIA;MA;75090349819;35525808561446
Felicia Rowe MD;67;ABADIA DOS DOURADOS;MG;596.815.490-07;64.907.227/2394-00
Kathleen Caldwell MD;88;ÁGUA CLARA;MS;92840204509;79861891545704
Sarah Quinn MD Jr.;42;ACORIZAL;MT;065.119.137-83;78.721.377/2371-35
William Armstrong DDS;20;ABAETETUBA;PA;19504975933;20267116303851
Eric Sims MD;27;ÁGUA BRANCA;PB;204.579.763-57;65.384.618/2760-54
Cody Wilson DVM;22;ABREU E LIMA;PE;51842153951;34265860031309
Elizabeth Oconnor MD;57;ACAUÃ;PI;659.305.354-69;48.499.247/7288-92
Rhonda Stafford DVM;81;ABATIÁ;PR;47344571900;48585924863750
Emily Thomas MD;31;ANGRA DOS REIS;RJ;251.240.731-44;65.494.035/4787-03
Heather Chen DDS;33;ACARI;RN;23164921500;44841456740439
Richard Mitchell DDS;62;ALTA FLORESTA D'OESTE;RO;158.494.754-35;14.996.512/1757-11
Darryl Cannon DDS;74;AMAJARI;RR;65242060883;87347070911045
Ryan Sandoval DVM;34;ACEGUÁ;RS;818.718.498-10;19.900.465/4678-07
Michael Cook MD;40;ABDON BATISTA;SC;79291797103;37496092616188
David Haley DDS;22;AMPARO DE SÃO FRANCISCO;SE;822.731.394-97;96.854.079/1426-50
Larry Martinez MD;47;ADAMANTINA;SP;93365088229;99909240336837
Caroline Johnson MD;86;ABREULÂNDIA;TO;502.586.928-55;81.945.292/5914-02
Natalie Watkins DVM;37;ACRELÂNDIA;AC;78593899595;18805993045820
Brittany Thornton PhD;50;ÁGUA BRANCA;AL;838.980.826-95;01.058.866/6249-18
Daniel Gilbert II;67;ALVARÃES;AM;97100525438;71888998566570
Dillon Madden Jr.;64;SERRA DO NAVIO;AP;981.034.072-91;53.389.093/0092-91
Jason Russell MD;72;ABAÍRA;BA;74329721848;38578112033887
Raymond Hogan MD;73;ABAIARA;CE;076.074.105-03;52.432.953/0117-52
Dwayne Walsh MD;52;Brasília;DF;73394926318;93042642602533
Gary Foster DVM;73;AFONSO CLÁUDIO;ES;908.564.738-04;16.031.241/0032-34
Colton Bell MD;44;ABADIA DE GOIÁS;GO;85097639413;67783572338956
Dennis Harris DVM;79;AÇAILÂNDIA;MA;725.203.263-95;42.996.011/3304-15
Victoria Smith Jr.;30;ABADIA DOS DOURADOS;MG;14296550209;37618335416520
Natalie King IV;64;ÁGUA CLARA;MS;629.470.035-35;32.526.252/9069-26
Douglas Palmer MD;65;ACORIZAL;MT;77623746391;58320903655225
Kaylee Mccormick Jr.;65;ABAETETUBA;PA;252.201.459-59;37.422.984/6874-06
Kimberly Bates II;27;ÁGUA BRANCA;PB;16674697460;67737406034370
Matthew Novak DDS;33;ABREU E LIMA;PE;635.746.713-85;92.441.934/6487-30
Jeffrey Bryan MD;25;ACAUÃ;PI;37366201790;16656035408546
Mary Shepherd MD;39;ABATIÁ;PR;500.375.092-76;14.345.490/5290-41
Casey Bautista DDS;87;ANGRA DOS REIS;RJ;89846761104;06323207971278
Allison Stark II;89;ACARI;RN;794.932.132-69;09.289.541/9668-32
Cheryl Norman DDS;44;ALTA FLORESTA D'OESTE;RO;92603197908;89299109075355
Katelyn Davis DVM;47;AMAJARI;RR;341.732.859-49;83.943.931/1184-02
Diane James PhD;46;ACEGUÁ;RS;62716827150;45822740004481
Elizabeth Cuevas MD;40;ABDON BATISTA;SC;612.730.696-50;00.491.692/7670-01
Jeremy Downs DDS;54;AMPARO DE SÃO FRANCISCO;SE;37055989027;65841801993108
Eric Martinez DVM;41;ADAMANTINA;SP;165.056.704-91;45.565.286/3861-02
James Willis MD;52;ABREULÂNDIA;TO;02002768919;25483305423198
Cynthia Clark PhD;72;ACRELÂNDIA;AC;242.055.531-70;07.123.422/0704-95
Laura Jones Jr.;40;ÁGUA BRANCA;AL;00973556749;17653892409608
Rachel Lopez MD;18;ALVARÃES;AM;903.470.146-82;45.042.477/1502-26
Tracy Miller DDS;63;SERRA DO NAVIO;AP;00018571263;71379913047768
Chloe Lucero DDS;54;ABAÍRA;BA;871.233.150-30;41.108.549/8264-20
Susan Robinson III;28;ABAIARA;CE;11688474277;84336276154604
Rodney Haley MD;26;Brasília;DF;571.591.700-08;43.405.759/2835-25
Kimberly Hall MD;58;AFONSO CLÁUDIO;ES;35914538203;23435647844390
William Wright DVM;51;ABADIA DE GOIÁS;GO;341.665.169-30;14.473.405/8341-76
Dr. Sophia Norton MD;19;AÇAILÂNDIA;MA;55613026203;46488093503300
Levi Lopez MD;82;ABADIA DOS DOURADOS;MG;947.736.426-61;91.582.859/3934-05
Miguel Smith DDS;40;ÁGUA CLARA;MS;88005351437;59583320745240
Jennifer Moore DDS;66;ACORIZAL;MT;811.630.093-85;53.734.591/2905-00
Deborah Roberts MD;44;ABAETETUBA;PA;71559817615;66479799625094
Joseph Adams MD;63;ÁGUA BRANCA;PB;287.959.914-84;76.725.633/5569-09
Austin Castillo PhD;19;ABREU E LIMA;PE;20240734505;59067888104769
Joseph Cook IV;52;ACAUÃ;PI;176.477.752-27;98.910.816/4987-16
Dr. Patrick Perez PhD;43;ABATIÁ;PR;28831943863;16651873800729
Justin Charles Jr.;74;ANGRA DOS REIS;RJ;289.379.398-35;50.514.503/5831-59
Leslie Fox DVM;80;ACARI;RN;03301077633;76197280592985
Terri Reid Jr.;39;ALTA FLORESTA D'OESTE;RO;823.149.726-94;68.278.326/7364-76
Gloria Guzman PhD;53;AMAJARI;RR;94048656139;98841295169209
William Weber MD;32;ACEGUÁ;RS;765.259.166-07;97.186.914/8962-56
Elizabeth Wright DDS;77;ABDON BATISTA;SC;45713762270;07559827363818
Andrew Burton PhD;28;AMPARO DE SÃO FRANCISCO;SE;001.168.012-12;10.123.274/4416-83
Joseph Green Jr.;57;ADAMANTINA;SP;73614508650;01920195189849
Melissa Jones DDS;85;ABREULÂNDIA;TO;690.198.610-69;62.333.843/4880-97
Brenda Roman Jr.;22;ACRELÂNDIA;AC;30686044517;88770839268128
Linda Frost Jr.;74;ÁGUA BRANCA;AL;357.888.372-78;58.943.045/1274-14
Jennifer Martinez DVM;48;ALVARÃES;AM;83141590184;43733512814240
Erica Herrera MD;77;SERRA DO NAVIO;AP;685.655.476-12;29.906.992/1405-30
Jessica Ward MD;46;ABAÍRA;BA;69013865321;80139210134800
Shaun Bailey Jr.;35;ABAIARA;CE;654.027.121-23;29.879.505/2392-92
Zachary Ferguson DDS;38;Brasília;DF;51043343920;26995689389405
Donald Barrett MD;82;AFONSO CLÁUDIO;ES;209.830.338-62;88.049.045/1899-70
Alexandra Hayden DDS;62;ABADIA DE GOIÁS;GO;71155088107;91868758234275
Lisa Contreras Jr.;90;AÇAILÂNDIA;MA;803.338.665-76;57.693.164/2454-39
Ricky Martinez DDS;31;ABADIA DOS DOURADOS;MG;92326832531;68425163121020
Shannon Smith MD;50;ÁGUA CLARA;MS;067.145.367-04;60.591.467/9728-37
Tara Dunn DDS;50;ACORIZAL;MT;38656688367;34725298950982
Robert Miller PhD;64;ABAETETUBA;PA;153.863.467-84;96.202.490/3949-68
Hannah Wright DDS;35;ÁGUA BRANCA;PB;15483950640;92329237222115
Natalie King MD;38;ABREU E LIMA;PE;848.254.454-38;61.496.584/5091-57
Jessica Hughes IV;36;ACAUÃ;PI;20010120041;92289988794973
Adrienne Lopez III;47;ABATIÁ;PR;188.519.229-00;44.605.046/1586-76
Dr. Frederick White V Jr.;44;ANGRA DOS REIS;RJ;37303136304;69541085248083
James Ayala PhD;19;ACARI;RN;866.539.069-30;97.020.633/5999-50
Justin Ruiz PhD;39;ALTA FLORESTA D'OESTE;RO;47751963166;02780120054276
Brian Schultz MD;81;AMAJARI;RR;351.310.406-55;29.799.653/4560-52
Michael Elliott DVM;21;ACEGUÁ;RS;54829220228;02124358361928
Jamie Sanchez MD;64;ABDON BATISTA;SC;010.065.941-16;59.389.889/3108-93
Paula Jackson MD;25;AMPARO DE SÃO FRANCISCO;SE;47088724294;82981890927074
Ethan Callahan Jr.;45;ADAMANTINA;SP;217.258.457-68;48.271.430/7968-31
Adriana Smith II;37;ABREULÂNDIA;TO;75762577503;24106102608594
Kyle Baker MD;27;ACRELÂNDIA;AC;969.074.644-89;13.516.274/4644-10
Sharon Snow Jr.;35;ÁGUA BRANCA;AL;60118243071;08366385916375
Gina Gray DDS;72;ALVARÃES;AM;788.429.006-56;61.439.206/6037-40
Pamela Pennington MD;77;SERRA DO NAVIO;AP;77363530939;15448240640707
Alicia Raymond MD;90;ABAÍRA;BA;442.452.889-81;86.609.179/2638-80
Rebecca Lopez MD;68;ABAIARA;CE;22123303674;56444828798470
Adam Sharp MD;49;Brasília;DF;448.787.438-67;15.229.983/9376-08
Scott Davis DDS;35;AFONSO CLÁUDIO;ES;24320473469;30861541612707
Willie Wagner II;69;ABADIA DE GOIÁS;GO;493.133.558-68;58.585.467/4873-21
Christine Perez DVM;21;AÇAILÂNDIA;MA;61686684541;54662561566847
Kimberly Hester DVM;51;ABADIA DOS DOURADOS;MG;729.061.135-73;27.385.416/5221-79
Joshua Mccarthy MD;43;ÁGUA CLARA;MS;93875907639;44869722183567
Danielle Davis MD;53;ACORIZAL;MT;290.854.068-11;37.369.008/0557-08
Betty Hamilton Jr.;41;ABAETETUBA;PA;70525253998;13904411741080
Colin Williams DVM;86;ÁGUA BRANCA;PB;567.928.260-73;09.348.468/6084-03
Martin Flores MD;82;ABREU E LIMA;PE;71130426947;28322184255034
Sarah Williams DVM;43;ACAUÃ;PI;231.894.312-56;23.491.183/2694-83
Lisa Valencia DVM;81;ABATIÁ;PR;52711394417;18766976813403
Elijah Carr DVM;26;ANGRA DOS REIS;RJ;063.033.760-88;11.650.845/5224-39
Theresa Sanders DVM;27;ACARI;RN;94148967675;16518195332018
Elizabeth Brown PhD;83;ALTA FLORESTA D'OESTE;RO;948.150.716-59;11.834.573/7493-91
Samantha Watson DVM;36;AMAJARI;RR;08352426508;58186457238445
